Rk,School,G,Pts,Cmp,Att,Pct,Yds,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,Pass,Rush,Pen,Tot,No.,Yds,Fum,Int,TO
34,Purdue,13,22.4,17.1,28.8,59.4,208.7,1.4,36.5,159.4,4.4,1.4,65.3,368.1,5.6,8.5,8.3,1.6,18.4,5.9,53.8,0.3,1.0,1.3
35,Utah,14,22.6,19.9,32.4,61.5,222.3,1.6,32.8,121.1,3.7,0.8,65.2,343.4,5.3,9.6,7.4,1.4,18.4,7.4,66.0,0.4,0.7,1.1
36,Nebraska,12,22.7,21.8,33.7,64.6,219.1,1.2,34.9,147.4,4.2,1.0,68.6,366.5,5.3,10.3,7.6,1.3,19.2,5.1,46.0,0.3,0.8,1.1
37,Washington,12,22.7,16.2,26.3,61.4,143.3,0.5,40.5,193.7,4.8,1.8,66.8,337.0,5.0,6.4,10.6,1.3,18.3,6.8,61.3,0.5,0.8,1.3
38,Ohio State,13,22.8,21.8,35.5,61.6,246.2,1.6,34.5,127.8,3.7,1.3,69.9,374.0,5.3,11.6,7.5,2.2,21.3,4.4,38.2,0.6,0.9,1.5
39,Arkansas,13,22.9,17.4,29.8,58.4,213.8,1.2,38.2,153.9,4.0,1.3,67.9,367.7,5.4,9.1,7.9,2.2,19.2,6.5,47.4,0.3,1.0,1.3
40,Miami (OH),13,23.1,18.1,29.5,61.4,222.5,1.3,36.8,146.4,4.0,1.4,66.2,368.9,5.6,10.4,7.7,1.8,19.9,5.8,54.1,0.6,0.7,1.3
41,UAB,13,23.2,18.2,31.0,58.6,217.2,1.8,34.5,112.2,3.2,1.2,65.5,329.3,5.0,8.6,6.5,3.2,18.2,5.8,49.6,0.8,0.8,1.5
42,Pitt,14,23.6,21.6,36.1,59.7,264.3,1.9,33.7,88.7,2.6,1.1,69.9,353.0,5.1,11.6,5.7,2.6,19.9,7.2,64.8,0.5,1.1,1.6
43,Wyoming,13,23.7,16.9,29.1,58.2,189.8,1.6,39.4,182.2,4.6,1.3,68.5,372.0,5.4,9.0,9.3,1.9,20.2,4.8,39.7,0.3,0.8,1.1
44,Marshall,13,23.8,17.6,32.2,54.8,205.3,1.4,44.7,189.9,4.2,1.4,76.8,395.2,5.1,8.8,10.7,1.8,21.2,6.5,57.6,0.6,0.8,1.4
45,West Virginia,13,23.8,18.2,28.3,64.1,211.5,1.3,34.5,139.1,4.0,1.2,62.8,350.6,5.6,8.7,7.5,1.2,17.4,4.4,36.2,0.3,0.7,1.0
46,South Carolina,13,24.0,15.1,25.9,58.2,180.8,1.2,37.3,175.0,4.7,1.4,63.2,355.8,5.6,7.9,9.5,1.1,18.5,4.6,42.6,0.7,1.2,1.8
47,Washington State,13,24.2,20.0,33.4,59.9,216.8,1.2,34.5,161.8,4.7,1.5,67.9,378.6,5.6,9.8,9.3,1.2,20.4,5.5,41.8,1.1,1.2,2.2
48,Utah State,14,24.4,19.2,30.8,62.4,230.9,1.1,36.4,162.3,4.5,1.4,67.2,393.1,5.8,10.4,8.4,1.7,20.5,8.1,74.7,0.8,0.9,1.6
49,UCF,13,24.5,20.7,35.8,57.7,210.1,0.9,36.7,159.8,4.4,1.8,72.5,369.8,5.1,10.8,8.5,1.8,21.2,6.2,48.8,0.7,0.8,1.5
50,UTSA,14,24.6,18.4,31.1,59.1,258.0,1.9,34.9,115.4,3.3,1.1,65.9,373.4,5.7,10.6,7.5,1.9,19.9,8.0,64.7,1.1,0.9,1.9
51,Ole Miss,13,24.7,20.7,33.9,61.0,230.0,1.1,42.2,190.4,4.5,1.9,76.2,420.4,5.5,11.0,11.1,2.8,24.9,6.4,53.5,0.8,0.8,1.6
52,Brigham Young,13,24.8,20.7,31.6,65.5,231.9,1.1,36.0,156.9,4.4,1.8,67.6,388.8,5.8,11.2,9.2,1.3,21.5,5.4,43.9,0.4,1.2,1.5
